         64        1250  n2 & nume
 163       10.382 -1.552559E+00  8.229837E-01  2.665326E-01
 164       10.495 -1.492536E+00  7.981632E-01  2.786174E-01
 165       10.609 -1.433412E+00  7.735082E-01  2.915616E-01
 166       10.724 -1.377853E+00  7.501711E-01  3.047945E-01
 167       10.841 -1.323051E+00  7.271429E-01  3.190343E-01
 168       10.959 -1.270173E+00  7.049063E-01  3.340422E-01
 169       11.079 -1.218981E+00  6.834128E-01  3.499355E-01
 170       11.199 -1.168416E+00  6.622008E-01  3.671336E-01
 171       11.321 -1.120402E+00  6.421537E-01  3.850622E-01
 172       11.444 -1.072911E+00  6.223685E-01  4.045347E-01
 173       11.569 -1.026738E+00  6.032117E-01  4.253793E-01
 174       11.695 -9.820544E-01  5.847747E-01  4.476257E-01
 175       11.822 -9.379670E-01  5.666438E-01  4.718622E-01
 176       11.951 -8.954299E-01  5.492707E-01  4.977564E-01
 177       12.081 -8.538597E-01  5.323850E-01  5.258070E-01
 178       12.213 -8.129135E-01  5.158251E-01  5.565033E-01
 179       12.346 -7.734674E-01  5.000077E-01  5.894513E-01
 180       12.480 -7.347975E-01  4.845904E-01  6.254755E-01
 181       12.616 -6.967536E-01  4.695019E-01  6.651132E-01
 182       12.754 -6.599807E-01  4.550477E-01  7.080880E-01
 183       12.892 -6.240057E-01  4.410025E-01  7.553142E-01
 184       13.033 -5.886441E-01  4.272786E-01  8.076047E-01
 185       13.175 -5.542117E-01  4.140237E-01  8.651336E-01
 186       13.318 -5.207400E-01  4.012500E-01  9.284503E-01
 187       13.463 -4.878607E-01  3.887835E-01  9.990308E-01
 188       13.610 -4.555949E-01  3.766334E-01  1.077883E+00
 189       13.758 -4.243480E-01  3.649849E-01  1.165025E+00
 190       13.908 -3.937659E-01  3.536710E-01  1.262503E+00
 191       14.059 -3.637650E-01  3.426519E-01  1.372060E+00
 192       14.212 -3.343553E-01  3.319308E-01  1.495376E+00
 193       14.367 -3.057992E-01  3.216232E-01  1.632981E+00
 194       14.524 -2.778942E-01  3.116345E-01  1.787497E+00
 195       14.682 -2.505444E-01  3.019194E-01  1.961435E+00
 196       14.842 -2.237536E-01  2.924777E-01  2.156774E+00
 197       15.003 -1.975233E-01  2.833076E-01  2.375174E+00
 198       15.167 -1.720605E-01  2.744963E-01  2.615420E+00
 199       15.332 -1.471429E-01  2.659430E-01  2.878896E+00
 200       15.499 -1.227490E-01  2.576364E-01  3.163363E+00
 201       15.668 -9.887753E-02  2.495732E-01  3.463237E+00
 202       15.838 -7.552593E-02  2.417499E-01  3.768676E+00
 203       16.011 -5.269123E-02  2.341619E-01  4.064735E+00
 204       16.185 -3.044228E-02  2.268344E-01  4.330506E+00
 205       16.361 -8.736040E-03  2.197452E-01  4.543543E+00
 206       16.539  1.248428E-02  2.128683E-01  4.681637E+00
 207       16.719  3.322115E-02  2.061990E-01  4.726986E+00
 208       16.902  5.347734E-02  1.997325E-01  4.671788E+00
 209       17.086  7.325418E-02  1.934641E-01  4.520767E+00
 210       17.272  9.255288E-02  1.873887E-01  4.289979E+00
 211       17.460  1.113736E-01  1.815012E-01  4.002518E+00
 212       17.650  1.297143E-01  1.757964E-01  3.683128E+00
 213       17.842  1.475718E-01  1.702691E-01  3.353800E+00
 214       18.036  1.649360E-01  1.649143E-01  3.031480E+00
 215       18.233  1.817936E-01  1.597268E-01  2.727502E+00
 216       18.431  1.981207E-01  1.547014E-01  2.448414E+00
 217       18.632  2.138791E-01  1.498333E-01  2.197154E+00
 218       18.835  2.290043E-01  1.451174E-01  1.974332E+00
 219       19.040  2.433786E-01  1.405490E-01  1.779391E+00
 220       19.247  2.567698E-01  1.361235E-01  1.611685E+00
 221       19.457  2.686070E-01  1.318360E-01  1.472527E+00
 222       19.669  2.752281E-01  1.276821E-01  1.387046E+00
 223       19.883  2.810882E-01  1.125125E-01  1.227370E+00
 224       20.099  3.002248E-01  9.233113E-02  9.358518E-01
 225       20.318  3.223266E-01  8.727090E-02  7.826239E-01
 226       20.540  3.435666E-01  8.227262E-02  6.591997E-01
 227       20.763  3.599181E-01  7.776360E-02  5.735279E-01
 228       20.989  3.764476E-01  7.320549E-02  4.977534E-01
 229       21.218  3.918656E-01  6.895939E-02  4.355862E-01
 230       21.449  4.073873E-01  6.468503E-02  3.801680E-01
 231       21.682  4.223314E-01  6.110496E-02  3.355616E-01
 232       21.919  4.372269E-01  5.769558E-02  2.966412E-01
 233       22.157  4.514470E-01  5.474289E-02  2.647126E-01
 234       22.399  4.653837E-01  5.201645E-02  2.372064E-01
 235       22.642  4.788909E-01  4.934865E-02  2.129191E-01
 236       22.889  4.921268E-01  4.671538E-02  1.911657E-01
 237       23.138  5.050884E-01  4.437696E-02  1.726168E-01
 238       23.390  5.178517E-01  4.227562E-02  1.566010E-01
 239       23.645  5.302365E-01  4.041514E-02  1.429187E-01
 240       23.902  5.423601E-01  3.873640E-02  1.310189E-01
 241       24.163  5.540112E-01  3.728338E-02  1.209249E-01
 242       24.426  5.654225E-01  3.596254E-02  1.120343E-01
 243       24.692  5.763581E-01  3.468485E-02  1.040363E-01
